scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
dropout,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.1599999964237213,0.1599999964237213,0.3474131903742865,0.0,0.0,0.0,0.9119811,0.0,0.0,0.0,False,False,NONE,-0.15915058871221308
dropout,1,0.01,-1.9532563497410346e-07,-9.143188313039021e-06,0.000849407974265826,-3.694381374909483e-05,0.014316166144044375,0.18647020725605531,-1.9532563497410346e-07,-9.143188313039021e-06,0.000849407974265826,-3.694381374909483e-05,0.014316166144044375,0.18647020725605531,0.014493174720769034,-2.0559327853681873e-05,-1.4596689121102315e-06,-0.9765372876623896,-0.003180687001064562,-9.501362625240965e-05,0.0,0.0,0.16,1.9532563497410346e-07,9.143188313039021e-06,0.15915058844945548,0.15915058871221308,0.2983694888526283,0.059153197876180605,0.0006183027431879868,5.842324820721202e-06,0.46560988,0.056487143,0.00059043564,5.579009e-06,False,False,NONE,-0.1572474994195077
dropout,2,0.015,-7.075163336750023e-07,3.530859857281506e-05,0.002752500969929245,-5.3862301265744854e-05,0.003930695683464559,0.18330877524230577,-7.075163336750023e-07,3.530859857281506e-05,0.002752500969929245,-5.3862301265744854e-05,0.003930695683464559,0.18330877524230577,0.011389522740463493,-5.9266228951285324e-05,-2.0363427278724393e-06,-0.27554830879844683,-0.004049245926002929,-2.205140390808445e-06,0.0,0.0,0.16,7.075163336750023e-07,-3.530859857281506e-05,0.15724749545379207,0.1572474994195077,0.2984883434608458,-0.04279373197467402,0.001138807353921896,8.154110940589714e-06,0.46669164,-0.040865004,0.0010874809,7.7866025e-06,False,False,NONE,-0.15562713753087523
dropout,3,0.02,-1.5040085041231436e-06,6.930855806939444e-05,0.004372874333400282,-9.060444557354745e-05,0.0032435832079570417,0.1553069857758397,-1.5040085041231436e-06,6.930855806939444e-05,0.004372874333400282,-9.060444557354745e-05,0.0032435832079570417,0.1553069857758397,0.008986129125037505,-0.00011885872050034268,-2.5936994935124456e-06,-0.22991919943746106,-0.006771687379749566,6.559393926805607e-06,0.0,0.0,0.16,1.5040085041231436e-06,-6.930855806939444e-05,0.15562712209032104,0.15562713753087523,0.3052366360215307,-0.03176966596845191,0.002071487643881511,1.039002225188352e-05,0.5281112,-0.030337796,0.001978125,9.9217405e-06,False,False,NONE,-0.1542544521531277
dropout,4,0.025,-2.8889449825756676e-06,9.744739650244198e-05,0.005745575077944414,-0.00016322936749353891,0.002677569466450765,0.13159226875618812,-2.8889449825756676e-06,9.744739650244198e-05,0.005745575077944414,-0.00016322936749353891,0.002677569466450765,0.13159226875618812,0.006977452641579227,-0.00022208786010878543,-3.2647812203359664e-06,-0.19158713769965754,-0.01215812206535474,1.6503003593065665e-05,0.0,0.0,0.16,2.8889449825756676e-06,-9.744739650244198e-05,0.1542544213457769,0.1542544521531277,0.3109736407285555,-0.022454415967340297,0.0037971094167384535,1.3082511112228444e-05,0.58032656,-0.021442387,0.0036259724,1.2492877e-05,False,False,NONE,-0.1530906855512749
dropout,5,0.030000000000000002,-4.972551787225788e-06,0.00012047260368840258,0.006909358355337732,-0.0002093189184861407,0.0021833155760742893,0.11158994977808025,-4.972551787225788e-06,0.00012047260368840258,0.006909358355337732,-0.0002093189184861407,0.0021833155760742893,0.11158994977808025,0.005320197700622758,-0.00037709855037804606,-3.9288342198093e-06,-0.15745574975067853,-0.015570463208784422,3.320225404532521e-05,0.0,0.0,0.16,4.972551787225788e-06,-0.00012047260368840258,0.15309063806838358,0.1530906855512749,0.31583242360081,-0.015101501532060186,0.005618079994698514,1.5748545195671302e-05,0.6245488,-0.014420872,0.005364871,1.5038753e-05,False,False,NONE,-0.1521021678090273
dropout,6,0.035,-7.222369135414898e-06,0.00013915895052343986,0.007897892444751402,-0.0001831782613006199,0.0017812179099494028,0.09489759410525744,-7.222369135414898e-06,0.00013915895052343986,0.007897892444751402,-0.0001831782613006199,0.0017812179099494028,0.09489759410525744,0.0039660876703676955,-0.0005423123730468347,-3.8111525237065765e-06,-0.1292744114516621,-0.01320470694803033,0.00014158915884845844,0.0,0.0,0.16,7.222369135414898e-06,-0.00013915895052343986,0.15210210397896992,0.1521021678090273,0.3199032355334758,-0.009070981971949383,0.00663882488676762,1.5287346292569674e-05,0.6615993,-0.008662149,0.0063396106,1.459834e-05,False,False,NONE,-0.15126167341457303
dropout,7,0.04,-8.653546358494933e-06,0.0001540304244499837,0.008738401681627483,-0.00014779739048868465,0.0014001115469522265,0.08062956479529912,-8.653546358494933e-06,0.0001540304244499837,0.008738401681627483,-0.00014779739048868465,0.0014001115469522265,0.08062956479529912,0.0028827369035394055,-0.000645071340015203,-2.8676282704036363e-06,-0.10212131918442058,-0.010615592351390087,0.00012911502732296376,0.0,0.0,0.16,8.653546358494933e-06,-0.0001540304244499837,0.15126159474209383,0.15126167341457303,0.32340571786783784,-0.004972084586949219,0.007041796150139218,1.1520418350033923e-05,0.6934771,-0.004747991,0.00672442,1.1001189e-05,False,False,NONE,-0.15054717118643524
dropout,8,0.045,-1.0146595162737933e-05,0.00016564032493698112,0.009452916702568306,-0.0001466466685032007,0.0010838996344012355,0.06856369877284421,-1.0146595162737933e-05,0.00016564032493698112,0.009452916702568306,-0.0001466466685032007,0.0010838996344012355,0.06856369877284421,0.0020334976094767187,-0.0007521166224338626,-1.8434941441767996e-06,-0.07935993227826839,-0.010503160626482471,0.00012754304742141045,0.0,0.0,0.16,1.0146595162737933e-05,-0.00016564032493698112,0.150547079721153,0.15054717118643524,0.32638815985094066,-0.001971666876479142,0.007898720446706418,7.428490580487017e-06,0.7206218,-0.0018828032,0.0075427224,7.093686e-06,False,False,NONE,-0.14993648160179948
dropout,9,0.049999999999999996,-1.146364478642297e-05,0.00017455197691908076,0.010063616864526424,-0.00014618007308663132,0.0008267481413954988,0.05863238358390022,-1.146364478642297e-05,0.00017455197691908076,0.010063616864526424,-0.00014618007308663132,0.0008267481413954988,0.05863238358390022,0.0013827198197006794,-0.000837569047836993,1.0589543255882845e-06,-0.06038092046611914,-0.009574557041212387,0.0003103016962218399,0.0,0.0,0.16,1.146364478642297e-05,-0.00017455197691908076,0.1499363795591949,0.14993648160179948,0.32885830272394473,0.00014723488636297552,0.00859053844881564,-4.18395068438729e-06,0.7431038,0.00014059896,0.00820336,-3.9953784e-06,False,False,NONE,-0.14941750164182738
