scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
normal,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.1599999964237213,0.1599999964237213,0.3474131903742865,0.0,0.0,0.0,0.9119811,0.0,0.0,0.0,False,False,NONE,-0.15915059034651535
normal,1,0.01,-2.31804574646644e-07,-9.143348391481209e-06,0.0008494063400216868,-4.410642764823076e-05,0.014316098094199158,0.1864705433388621,-2.31804574646644e-07,-9.143348391481209e-06,0.0008494063400216868,-4.410642764823076e-05,0.014316098094199158,0.1864705433388621,0.014493254101696345,-2.4034073747013884e-05,-1.4383594636690439e-06,-0.9765324267219291,-0.0037142296734065895,-9.486429894769481e-05,0.0,0.0,0.16,2.31804574646644e-07,9.143348391481209e-06,0.15915059008369964,0.15915059034651535,0.2983694016146944,0.05915172833581656,0.0007340233179796545,5.757033753335348e-06,0.46560907,0.05648574,0.0007009406,5.497562e-06,False,False,NONE,-0.15724750334384155
normal,2,0.015,-1.0014076426173246e-06,3.5309421871790496e-05,0.002752497047377118,-8.698036294416406e-05,0.0039311060619394425,0.1833075749525249,-1.0014076426173246e-06,3.5309421871790496e-05,0.002752497047377118,-8.698036294416406e-05,0.0039311060619394425,0.1833075749525249,0.011389534155007253,-8.183467230195788e-05,-2.241562137194135e-06,-0.27557689464524326,-0.006505793901316785,-3.1349491326517734e-08,0.0,0.0,0.16,1.0014076426173246e-06,-3.5309421871790496e-05,0.1572474993763442,0.15724750334384155,0.29848865946127445,-0.04278879688305286,0.0017268355877724975,8.975448352778697e-06,0.4666945,-0.04086029,0.0016490065,8.570922e-06,False,False,NONE,-0.15562717223363093
normal,3,0.02,-2.128290228014176e-06,6.931942169868056e-05,0.004372839642764924,-0.00011762015362749326,0.0032443132014343184,0.1553047535146653,-2.128290228014176e-06,6.931942169868056e-05,0.004372839642764924,-0.00011762015362749326,0.0032443132014343184,0.1553047535146653,0.008985429252186396,-0.00016593211985275642,-2.9849441231517596e-06,-0.22997136740146515,-0.008775608287516013,1.4685405504702908e-05,0.0,0.0,0.16,2.128290228014176e-06,-6.931942169868056e-05,0.1556271567809564,0.15562717223363093,0.3052372361652175,-0.03175505667513751,0.0027835147161586137,1.1956438656917075e-05,0.5281167,-0.030323846,0.0026580608,1.1417558e-05,False,False,NONE,-0.15425449759351514
normal,4,0.025,-3.5779574855519217e-06,9.746187361962104e-05,0.0057455296611371425,-0.00016616445866265585,0.0026779764010582342,0.13159105152360473,-3.5779574855519217e-06,9.746187361962104e-05,0.0057455296611371425,-0.00016616445866265585,0.0026779764010582342,0.13159105152360473,0.006976488284438878,-0.0002739915201128876,-3.6032458400450604e-06,-0.19161692243719244,-0.012379798380588222,2.5477301820339568e-05,0.0,0.0,0.16,3.5779574855519217e-06,-9.746187361962104e-05,0.15425446676258417,0.15425449759351514,0.3109739800648209,-0.022441610416220812,0.004253917120453675,1.4438653639090392e-05,0.58032966,-0.021430159,0.0040621916,1.3787899e-05,False,False,NONE,-0.153090687736583
normal,5,0.030000000000000002,-5.614539536612437e-06,0.00012047362122743749,0.006909356193028273,-0.00020383089990512782,0.002182228382768912,0.11159345392288608,-5.614539536612437e-06,0.00012047362122743749,0.006909356193028273,-0.00020383089990512782,0.002182228382768912,0.11159345392288608,0.005320196912927609,-0.0004255622399955079,-4.17002642359365e-06,-0.1573776104682276,-0.015168495572621675,4.021953242327321e-05,0.0,0.0,0.16,5.614539536612437e-06,-0.00012047362122743749,0.15309064023069305,0.153090687736583,0.3158315073416782,-0.015114776979392524,0.005944224405679976,1.6716201039343735e-05,0.62454045,-0.014433549,0.005676316,1.5962796e-05,False,False,NONE,-0.15210235072868694
normal,6,0.035,-7.280314313998872e-06,0.0001391171848870846,0.007897709489571662,-8.939151100717795e-05,0.0017710366815852422,0.09486655877935894,-7.280314313998872e-06,0.0001391171848870846,0.007897709489571662,-8.939151100717795e-05,0.0017710366815852422,0.09486655877935894,0.003969254366947718,-0.0005479800419180689,-3.916032153749272e-06,-0.12852333486737919,-0.00634925815946867,0.000124327446374043,0.0,0.0,0.16,7.280314313998872e-06,-0.0001391171848870846,0.15210228693414965,0.15210235072868694,0.3199114433149016,-0.009221207653199793,0.005537990921937998,1.5710014040350595e-05,0.66167396,-0.008805605,0.005288392,1.5001959e-05,False,False,NONE,-0.1512624334652701
normal,7,0.04,-7.295768735570639e-06,0.00015385613878685396,0.008737641381577448,2.5411794001477595e-05,0.0013831321588213697,0.08055964273910898,-7.295768735570639e-06,0.00015385613878685396,0.008737641381577448,2.5411794001477595e-05,0.0013831321588213697,0.08055964273910898,0.0028955770448252137,-0.0005475194955652395,-3.0121013451176288e-06,-0.1008843583334962,0.0020120835518595867,8.051042810111719e-05,0.0,0.0,0.16,7.295768735570639e-06,-0.00015385613878685396,0.15126235504214386,0.1512624334652701,0.3234243681725469,-0.005283913129466808,0.004132624294984624,1.2101821059186816e-05,0.69364685,-0.0050457655,0.0039463653,1.1556388e-05,False,False,NONE,-0.15054870165221787
normal,8,0.045,-6.475727667916984e-06,0.0001651791638067216,0.009451385526518731,9.884068782867681e-05,0.0010529164370912637,0.06848302391975951,-6.475727667916984e-06,0.0001651791638067216,0.009451385526518731,9.884068782867681e-05,0.0010529164370912637,0.06848302391975951,0.002067134807915728,-0.0004862227296034441,-2.3358134948705794e-06,-0.07711644550114467,0.007353931536299312,4.389511269115075e-05,0.0,0.0,0.16,6.475727667916984e-06,-0.0001651791638067216,0.1505486108972026,0.15054870165221787,0.32640997623088697,-0.002623450778958633,0.002740367979932476,9.402509191935795e-06,0.72082037,-0.002505211,0.0026168586,8.9787345e-06,False,False,NONE,-0.1499416633328318
normal,9,0.049999999999999996,-5.112449120495381e-06,0.00017363920556295428,0.01005843371909484,0.00012395983078578737,0.0007831336474340711,0.058265498610607036,-5.112449120495381e-06,0.00017363920556295428,0.01005843371909484,0.00012395983078578737,0.0007831336474340711,0.058265498610607036,0.001445975695921605,-0.0003855398000386926,-1.9612272862417263e-06,-0.057547218074997984,0.009154407019052646,1.6793579095332973e-05,0.0,0.0,0.16,5.112449120495381e-06,-0.00017363920556295428,0.14994156270462647,0.1499416633328318,0.32895670573052455,-0.0008996146607226621,0.0016197320322152914,7.909067425635987e-06,0.7439994,-0.0008590687,0.0015467302,7.552603e-06,False,False,NONE,-0.14942437680848883
