step,t,noise_active,noise_std_pos,noise_std_vel,dropout_active,dropout_mode,path_active,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,action_0,action_1,action_2,action_3,U1,rates_des_x,rates_des_y,rates_des_z,reward,done
0,0.005,0,0.05,0.05,0,NONE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.9119811,0.0,0.0,0.0,0.3474131903742865,0.0,0.0,0.0,-0.15915058087007888,0
1,0.01,0,0.05,0.05,0,NONE,0,-2.0978657141323016e-07,-9.142687360007753e-06,0.0008494158163896558,-3.971541205334756e-05,0.014315922971346567,0.18647083974679166,-2.0978657141323016e-07,-9.142687360007753e-06,0.0008494158163896558,-3.971541205334756e-05,0.014315922971346567,0.18647083974679166,0.014493177972353466,-2.2184649078464424e-05,-1.4460571117415993e-06,-0.9765210113537536,-0.0033873498330194898,-9.471671787435452e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.46560833,0.05648428,0.0006353433,5.5269834e-06,0.2983693197122875,0.059150198625773524,0.0006653299851249862,5.787843589745751e-06,-0.157247487828055,0
2,0.015,0,0.05,0.05,0,NONE,0,-6.567194488432124e-07,3.5307499648945854e-05,0.002752512560915124,-3.8746774097553105e-05,0.003930786335413221,0.18330838468102062,-6.567194488432124e-07,3.5307499648945854e-05,0.002752512560915124,-3.8746774097553105e-05,0.003930786335413221,0.18330838468102062,0.011389637968423837,-5.604848704007231e-05,-1.956978669930068e-06,-0.2755544965239589,-0.002927549010769129,-1.0715732662755384e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.4666925,-0.040864833,0.00088591524,7.483232e-06,0.2984884404264655,-0.04279355342085552,0.0009277282883381512,7.836422269174452e-06,-0.15562714438726144,0
3,0.02,0,0.05,0.05,0,NONE,0,-5.382634166372043e-07,6.931313946082851e-05,0.004372867472717122,2.8929511451765552e-05,0.0032442596063755806,0.155304807906908,-5.382634166372043e-07,6.931313946082851e-05,0.004372867472717122,2.8929511451765552e-05,0.0032442596063755806,0.155304807906908,0.008985842773804249,-4.777949028677211e-05,-1.8525525751514881e-06,-0.22996720747597796,0.0020934978601340466,2.6750785066477555e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.52811646,-0.03032767,3.1473348e-05,7.0887763e-06,0.30523720925068293,-0.03175906287057607,3.2958814264914886e-05,7.423349271498011e-06,-0.1542544059587713,0
4,0.025,0,0.05,0.05,0,NONE,0,1.495042724155337e-07,9.743522074146468e-05,0.005745621237638405,7.45594331668597e-05,0.0026748710228247084,0.13160082865460407,1.495042724155337e-07,9.743522074146468e-05,0.005745621237638405,7.45594331668597e-05,0.0026748710228247084,0.13160082865460407,0.006978362325344438,2.7173899744438096e-06,-1.4775408034144983e-06,-0.19139413770039485,0.005478961198710661,-5.022352945842569e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.580306,-0.021480946,-0.0008921685,5.659864e-06,0.3109713788952179,-0.022494793787033736,-0.0009342766373341534,5.9269960365585875e-06,-0.15309046848429153,0
5,0.030000000000000002,0,0.05,0.05,0,NONE,0,8.857332359127593e-07,0.00012040691617440283,0.006909575292515754,8.693184847822676e-05,0.0021771064238873677,0.11160980665488852,8.857332359127593e-07,0.00012040691617440283,0.006909575292515754,8.693184847822676e-05,0.0021771064238873677,0.11160980665488852,0.0053249717759700915,5.687980041288197e-05,-1.2551633082695678e-06,-0.15700629578589057,0.006407310680974577,-1.1133974284183634e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.6245006,-0.014530359,-0.0014559727,4.813441e-06,0.3158271267305219,-0.015216156041648674,-0.0015246910529963273,5.040623964249539e-06,-0.15210261211676346,0
6,0.035,0,0.05,0.05,0,NONE,0,1.690762954847919e-06,0.00013887564285294807,0.00789744771581918,8.535643677768648e-05,0.0017416981731864488,0.09475228893331672,1.690762954847919e-06,0.00013887564285294807,0.00789744771581918,8.535643677768648e-05,0.0017416981731864488,0.09475228893331672,0.003986592879431587,0.00011622283298139614,-1.1406727723475601e-06,-0.1264208349503316,0.006297747820564308,-1.6410717800356507e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.6619473,-0.0092826625,-0.0018971261,4.3788427e-06,0.3199414758814993,-0.009720781639878431,-0.0019866658415575713,4.585513502492377e-06,-0.15126358366306542,0
7,0.04,0,0.05,0.05,0,NONE,0,2.41866745218291e-06,0.00015351496945063465,0.008736490679945193,4.389303068643165e-05,0.001375527850646793,0.0804903658106747,2.41866745218291e-06,0.00015351496945063465,0.008736490679945193,4.389303068643165e-05,0.001375527850646793,0.0804903658106747,0.0029198324254071017,0.00016990180753895424,-1.148283831999394e-06,-0.10036520827757849,0.003223911639763354,-2.1703466001587394e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.69381666,-0.005322584,-0.0018285457,4.4106564e-06,0.3234430266973889,-0.005573796883586132,-0.0019148486228181528,4.618828450679712e-06,-0.1505499822942758,0
8,0.045,0,0.05,0.05,0,NONE,0,2.396407419830978e-06,0.00016478003465584742,0.009450104326104169,-3.9479518055647316e-05,0.0010477690582411697,0.0684867824320386,2.396407419830978e-06,0.00016478003465584742,0.009450104326104169,-3.9479518055647316e-05,0.0010477690582411697,0.0684867824320386,0.002095328171185637,0.00016804243094984994,-1.340414659191297e-06,-0.07676687855072012,-0.0029492781755759206,-1.968731906750213e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.72081673,-0.0027839518,-0.0008408449,5.147742e-06,0.32640957575730867,-0.002915347483460671,-0.0008805306866087002,5.390702796095302e-06,-0.14994271917224697,0
9,0.049999999999999996,0,0.05,0.05,0,NONE,0,2.505158808445533e-06,0.00017326871778067818,0.010057377384160257,6.164395358216109e-05,0.0007871931102625342,0.058279885484450414,2.505158808445533e-06,0.00017326871778067818,0.010057377384160257,6.164395358216109e-05,0.0007871931102625342,0.058279885484450414,0.0014719117078718395,0.00017604683706531215,-1.4444063057891175e-06,-0.057857807602904154,0.004569658496133126,-8.107565173361636e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.74396956,-0.0010129344,-0.002085208,5.5484093e-06,0.3289534219692597,-0.001060742383164276,-0.0021836245898786168,5.810280398251057e-06,-0.1494243690162179,0
