Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,TotalEnvSteps,Time,FPS
1,-2970.1708984375,0.0,-2970.171,-2970.171,3600.0,3600.0,3600.0,-0.08170531378851996,-0.16172592,-0.020729955,-13.595732421875,-58.526825,3.2891707,13.559442520141602,228.60751342773438,-0.21807861328125,-130.460205078125,0.7257912755012512,0.002050923416391015,80.0,1,0.9853489995002747,0.0003,-76.58404541015625,27.07418441772461,3600,162,22
2,-2986.810791015625,0.0,-2986.8108,-2986.8108,3600.0,3600.0,3600.0,-5.272413194444445,-14.037296,13.892759,0.38380215115017363,-17.548304,11.736577,-0.4200916588306427,19.972381591796875,-0.2810342013835907,-13.652530670166016,0.7257912755012512,0.0037982792127877474,80.0,1,1.0060395002365112,0.000285,-76.81697082519531,24.700843811035156,7200,327,21
3,-2973.793212890625,0.0,-2973.7932,-2973.7932,3600.0,3600.0,3600.0,-4.996201714409723,-11.968139,9.915492,0.2789906989203559,-7.912749,5.677402,-0.3152802586555481,4.172030448913574,-0.11148935556411743,-3.049898624420166,0.7257912755012512,0.0033576544374227524,80.0,1,1.0031940937042236,0.00027,-76.80513000488281,23.723615646362305,10800,493,21
4,-2951.5361328125,0.0,-2951.5361,-2951.5361,3600.0,3600.0,3600.0,-4.607540147569445,-10.597605,6.275649,0.211676025390625,-3.9586978,5.6685295,-0.24796557426452637,1.4460210800170898,-0.058982670307159424,-1.1215920448303223,0.7257912755012512,0.0037099525798112154,80.0,1,1.0007702112197876,0.00025499999999999996,-76.62417602539062,23.809431076049805,14400,660,21
5,-2936.70263671875,0.0,-2936.7026,-2936.7026,3600.0,3600.0,3600.0,-4.23544921875,-9.626631,4.969695,0.16007005479600694,-2.3825493,2.6826231,-0.19635963439941406,0.7916775345802307,-0.03966093063354492,-0.624638557434082,0.7257912755012512,0.0027555644046515226,80.0,1,0.9995829463005066,0.00023999999999999998,-76.4520263671875,23.693300247192383,18000,828,21
6,-2980.91650390625,0.0,-2980.9165,-2980.9165,3600.0,3600.0,3600.0,-4.174546712239583,-8.7600355,3.2421458,0.14141181098090277,-1.6100343,1.5660485,-0.17770138382911682,0.494386225938797,-0.028653621673583984,-0.3973811864852905,0.7257912755012512,0.002267142990604043,80.0,1,1.0057510137557983,0.000225,-76.52871704101562,23.286745071411133,21600,955,28
7,-3008.82470703125,0.0,-3008.8247,-3008.8247,3600.0,3600.0,3600.0,-3.9249723307291666,-8.149646,2.7407475,0.08948413425021702,-1.4124385,1.4709394,-0.12577369809150696,0.36430132389068604,-0.02544236183166504,-0.29210880398750305,0.7257912755012512,0.0025289892219007015,80.0,1,1.0008882284164429,0.00020999999999999998,-76.6850357055664,23.193397521972656,25200,1083,28
8,-3024.083740234375,0.0,-3024.0837,-3024.0837,3600.0,3600.0,3600.0,-3.831545138888889,-8.4271345,1.4652964,0.06984927707248263,-1.1017952,1.0763165,-0.10613884031772614,0.24997162818908691,-0.019051745533943176,-0.19684801995754242,0.7257912755012512,0.002825817558914423,80.0,1,1.0023221969604492,0.000195,-76.85016632080078,23.244468688964844,28800,1228,24
9,-2899.127197265625,0.0,-2899.1272,-2899.1272,3600.0,3600.0,3600.0,-3.7724546983506944,-8.673758,1.016196,0.08658241271972657,-1.0132611,0.95205015,-0.12287198007106781,0.17581717669963837,-0.014881327748298645,-0.12867926061153412,0.7257912755012512,0.002101075602695346,80.0,1,1.0041382312774658,0.00017999999999999998,-76.59649658203125,23.402542114257812,32400,1386,22
10,-2982.545654296875,0.0,-2982.5457,-2982.5457,3600.0,3600.0,3600.0,-3.6619542100694447,-8.798787,0.2337711,0.05647160424126519,-1.0285589,0.99911326,-0.09276116639375687,0.1361030787229538,-0.013326823711395264,-0.09431982785463333,0.7257912755012512,0.002386663109064102,80.0,1,1.000120997428894,0.000165,-76.61863708496094,23.216665267944336,36000,1551,21
11,-2974.552978515625,0.0,-2974.553,-2974.553,3600.0,3600.0,3600.0,-3.526775444878472,-8.928013,-0.11961054,0.030468198988172743,-1.0254213,1.2646555,-0.06675775349140167,0.11074942350387573,-0.010732941329479218,-0.07162611186504364,0.7257912755012512,0.0023345351219177246,80.0,1,0.9978784918785095,0.00015,-76.61683654785156,23.07878303527832,39600,1687,26
12,-2967.14599609375,0.0,-2967.146,-2967.146,3600.0,3600.0,3600.0,-3.3770453559027778,-8.947123,-0.4753163,0.004746049245198568,-1.0303335,0.72694784,-0.04103560745716095,0.0845513567328453,-0.009863421320915222,-0.0501604899764061,0.7257912755012512,0.002166610909625888,80.0,1,0.9983433485031128,0.00013499999999999997,-76.60706329345703,23.034591674804688,43200,1844,23
13,-2964.5341796875,0.0,-2964.5342,-2964.5342,3600.0,3600.0,3600.0,-3.358381076388889,-8.886189,-0.36106712,-0.001126911375257704,-0.73622304,0.8579013,-0.035162653774023056,0.07245216518640518,-0.00828506052494049,-0.04171480983495712,0.7257912755012512,0.0023493277840316296,80.0,1,1.0003182888031006,0.00011999999999999999,-76.59064483642578,22.96110725402832,46800,2004,22
14,-2966.655517578125,0.0,-2966.6555,-2966.6555,3600.0,3600.0,3600.0,-3.3038785807291666,-8.853879,-0.104836024,-0.011840116712782118,-0.91424847,0.6437905,-0.024449452757835388,0.0593193843960762,-0.006678201258182526,-0.030330074951052666,0.7257912755012512,0.001990209799259901,80.0,1,0.9975286722183228,0.00010499999999999999,-76.57807922363281,22.83565330505371,50400,2166,22
15,-3040.8349609375,0.0,-3040.835,-3040.835,3600.0,3600.0,3600.0,-3.165959743923611,-8.863864,-0.20510036,-0.055485784742567275,-0.99759346,0.8261464,0.019196219742298126,0.051979098469018936,-0.0061724744737148285,-0.02957197092473507,0.7257912755012512,0.0018466169713065028,80.0,1,0.9954773187637329,9e-05,-76.7103042602539,22.79645538330078,54000,2324,22
16,-2983.976318359375,0.0,-2983.9763,-2983.9763,3600.0,3600.0,3600.0,-3.2498779296875,-8.85496,-0.73829496,-0.032239134046766496,-0.865627,0.5029973,-0.0040504299104213715,0.042027052491903305,-0.004838239401578903,-0.020912066102027893,0.7257912755012512,0.0015366871375590563,80.0,1,0.994083046913147,7.5e-05,-76.72063446044922,22.726652145385742,57600,2483,22
17,-3011.4482421875,0.0,-3011.4482,-3011.4482,3600.0,3600.0,3600.0,-3.2385389539930554,-8.78391,-0.82153714,-0.04310045030381945,-0.7397871,0.6550675,0.006810884922742844,0.036215733736753464,-0.005184531211853027,-0.018172020092606544,0.7257912755012512,0.001910658786073327,80.0,1,0.9947848320007324,5.999999999999998e-05,-76.77454376220703,22.67446517944336,61200,2640,22
18,-2953.690185546875,0.0,-2953.6902,-2953.6902,3600.0,3600.0,3600.0,-3.25307373046875,-8.876018,-0.76150143,-0.03018705579969618,-0.7210302,0.5492123,-0.006102509796619415,0.02934349700808525,-0.0039481110870838165,-0.012210105545818806,0.7257912755012512,0.0019108714768663049,80.0,1,0.9955222010612488,4.5e-05,-76.73323822021484,22.610179901123047,64800,2797,22
19,-3039.1162109375,0.0,-3039.1162,-3039.1162,3600.0,3600.0,3600.0,-3.1940654839409723,-8.879199,-0.5013779,-0.05823420206705729,-0.7089593,0.44832093,0.02194463089108467,0.027879662811756134,-0.0024766363203525543,-0.013869838789105415,0.7257912755012512,0.0012023791205137968,80.0,1,0.9973333477973938,2.999999999999999e-05,-76.81698608398438,22.541881561279297,68400,2953,23
20,-3015.377685546875,0.0,-3015.3777,-3015.3777,3600.0,3600.0,3600.0,-3.230979275173611,-8.8739395,-0.8792968,-0.051416100396050345,-0.7295294,0.53596294,0.015126533806324005,0.02759358659386635,-0.002326507121324539,-0.01080583781003952,0.7257912755012512,0.0014381621731445193,80.0,1,0.9949737787246704,1.5000000000000012e-05,-76.86808013916016,22.5266170501709,72000,3112,22
