Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,TotalEnvSteps,Time,FPS
1,186.39564553285257,0.18031788186539274,185.99614,186.8356,401.0,401.0,401.0,0.09406465911865235,-0.1320167,0.2842955,7.477703125,-9.743408,8.47774,-7.492218017578125,62.10926818847656,-0.12374114990234375,-45.562049865722656,0.7257913947105408,0.0010012415004894137,80.0,0,1.0171431303024292,0.0003,34.682151794433594,14.89147663116455,16000,51,311
2,147.798828125,207.75591146824198,-1133.0475,186.51576,395.475,220.0,401.0,1.08718505859375,-9.261797,8.935577,0.11712624359130859,-41.27175,11.867737,-0.13164180517196655,11.549771308898926,-0.22186598181724548,-7.5767998695373535,0.7257913947105408,1.3013982772827148,80.0,0,0.9989913105964661,0.0003,30.5068359375,51.68164825439453,32000,99,332
3,184.7303955078125,9.907089130469277,122.865685,186.59502,398.575,304.0,401.0,1.96784619140625,-7.0514345,3.9036028,-0.27305487060546874,-3.691125,6.852487,0.2585390508174896,0.29670071601867676,-0.014579430222511292,-0.13358396291732788,0.7257913947105408,0.0018458885606378317,80.0,0,0.9847513437271118,0.0003,31.80174446105957,43.15206527709961,48000,151,306
4,186.19949419070514,0.489363958862124,183.34203,186.53677,401.0,401.0,401.0,1.91237255859375,-3.204134,3.0430784,-0.2149400634765625,-3.2050376,2.577908,0.2004242241382599,0.1746300607919693,-0.009804770350456238,-0.06213471293449402,0.7257913947105408,0.001512895803898573,80.0,0,0.9870488047599792,0.0003,32.51365280151367,38.13996887207031,64000,204,304
5,184.00107421875,13.62603072721129,98.92416,186.49342,397.9,277.0,401.0,1.603704833984375,-7.32404,2.417632,-0.13330844116210938,-2.7112741,7.043832,0.11879261583089828,0.14001592993736267,-0.00861424207687378,-0.03080342523753643,0.7257913947105408,0.0019357299897819757,80.0,0,0.9912069439888,0.0003,32.86459732055664,34.79181671142578,80000,257,299
6,173.2530011432927,33.66403771405645,54.07522,186.52448,381.0975609756098,162.0,401.0,1.423481689453125,-6.246744,2.2745838,-0.08342766571044923,-3.1233375,5.4879303,0.0689118504524231,0.18421635031700134,-0.009189564734697342,-0.07878150790929794,0.7257913947105408,0.0018565444042906165,80.0,0,0.9965057373046875,0.0003,32.94778060913086,32.41751480102539,96000,307,323
7,185.74625651041666,2.881238006816354,168.00238,186.56784,401.0,401.0,401.0,1.451862548828125,-2.5851629,1.8254713,-0.06441293334960937,-1.9301395,2.1581326,0.04989710822701454,0.07497619837522507,-0.00425758957862854,-0.006510464008897543,0.7257913947105408,0.001369008095934987,80.0,0,0.9968573451042175,0.0003,33.17534255981445,30.552040100097656,112000,356,322
8,186.24186197916666,0.15190939897402697,185.8357,186.53331,401.0,401.0,401.0,1.386357177734375,0.52837235,1.7400395,-0.03581427764892578,-1.8987077,0.8279918,0.021298453211784363,0.06377311795949936,-0.004054602235555649,-0.0017053079791367054,0.7257913947105408,0.0012462289305403829,80.0,0,0.9977540969848633,0.0003,33.360652923583984,29.066558837890625,128000,408,312
9,186.24089793669873,0.1577988664442617,185.9226,186.55734,401.0,401.0,401.0,1.313240966796875,0.089017406,1.7824477,-0.00873309326171875,-1.7691509,1.1609054,-0.005782734602689743,0.06053639575839043,-0.004523076117038727,-0.0006599668995477259,0.7257913947105408,0.001353685394860804,80.0,0,1.0009433031082153,0.0003,33.50487518310547,27.8549861907959,144000,459,314
10,186.22457181490384,0.1372094260750887,185.89067,186.49347,401.0,401.0,401.0,1.277263916015625,-0.41441834,1.8164738,0.008882411003112793,-1.7588592,1.5115942,-0.02339823730289936,0.06129079312086105,-0.004813402891159058,-0.0006807090248912573,0.7257913947105408,0.001419898122549057,80.0,0,1.002249002456665,0.0003,33.61955261230469,26.845203399658203,160000,509,315
