Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,1598.060763888889,0.11822742063154512,1597.8636,1598.2208,401.0,401.0,401.0,0.09452767944335938,-0.12134156,0.27987617,61.47216796875,-8.701675,142.63768,-61.50934600830078,6178.5078125,-2.3890953063964844,-969.5462646484375,0.7436313033103943,0.0013610064052045345,80.0,0,1.0262303352355957,0.0003,233.24049377441406,197.26016235351562,0.508999994180536,4000,15,251
2,1598.0169270833333,0.21991922856137555,1597.7604,1598.417,401.0,401.0,401.0,6.15527734375,-17.142553,17.337751,-1.0010919189453125,-19.065958,29.245678,0.9649004936218262,126.40876007080078,-1.3565715551376343,-77.20110321044922,0.7238293290138245,0.0046474202536046505,80.0,0,0.971332848072052,0.000294,233.3648681640625,197.17001342773438,0.4990199874853069,8000,31,253
3,1598.0696614583333,0.18611441920868846,1597.837,1598.3933,401.0,401.0,401.0,6.482056640625,-17.484823,12.774111,-1.12124462890625,-15.712646,18.291157,1.086063265800476,8.453556060791016,-0.2342321276664734,-3.5685582160949707,0.7036275267601013,0.0035095149651169777,80.0,0,0.9655522704124451,0.00028799999999999995,233.24427795410156,197.2576904296875,0.48904000119877045,12000,48,244
4,1590.3012152777778,22.331309668110727,1527.1392,1598.3278,401.0,401.0,401.0,3.580671142578125,-17.407583,10.000453,-0.50612451171875,-18.520185,17.363436,0.4719741642475128,6.5710859298706055,-0.16959288716316223,-1.211773157119751,0.683009147644043,0.0029803134966641665,80.0,0,0.9816782474517822,0.00028199999999999997,232.90667724609375,197.20875549316406,0.4790599994846701,16000,64,250
5,1598.3173828125,0.13241499586313618,1598.1708,1598.5731,401.0,401.0,401.0,6.8046455078125,-1.5049531,10.074913,-1.0562685546875,-7.5383782,5.520248,1.0231707096099854,2.4654717445373535,-0.09658020734786987,-0.9786546230316162,0.6619567275047302,0.0036033198703080416,80.0,0,0.9481415152549744,0.000276,233.01718139648438,197.1996307373047,0.46907999085743085,20000,79,262
6,1598.235568576389,0.22611191766872576,1597.845,1598.509,401.0,401.0,401.0,5.28569775390625,-11.712758,8.46484,-0.772884765625,-8.098284,10.643195,0.7408621907234192,2.3488237857818604,-0.09405416250228882,-0.8022098541259766,0.6404513716697693,0.00341783557087183,80.0,0,0.9597772359848022,0.00027,233.08056640625,197.1988983154297,0.4591000102019319,24000,95,254
7,1598.6475694444443,0.10470087241173971,1598.5499,1598.8995,401.0,401.0,401.0,5.04212548828125,1.7851743,7.527406,-0.7083907470703125,-5.915451,3.0743914,0.6774671077728271,1.3108998537063599,-0.062284648418426514,-0.4398658871650696,0.6184734106063843,0.0024911321233958006,80.0,0,0.9578809142112732,0.00026399999999999997,233.13385009765625,197.20106506347656,0.44911999991009005,28000,110,267
8,1598.7815755208333,0.12252632922126304,1598.5844,1599.0109,401.0,401.0,401.0,4.281099609375,-1.3884249,5.9706373,-0.550476318359375,-5.104725,4.949106,0.5206762552261353,1.0261294841766357,-0.057690590620040894,-0.2913682460784912,0.5960015058517456,0.002997276373207569,80.0,0,0.9634098410606384,0.000258,233.1773681640625,197.2034912109375,0.4391399993071233,32000,125,255
9,1598.8616536458333,0.06710163366382299,1598.7726,1598.9908,401.0,401.0,401.0,3.7540380859375,0.7865722,6.1754117,-0.4519359130859375,-4.4613843,2.8167202,0.4232853055000305,0.7940933704376221,-0.05092981457710266,-0.2054884433746338,0.5730132460594177,0.0024254582822322845,80.0,0,0.9652575850486755,0.00025199999999999995,233.20840454101562,197.20880126953125,0.4291600081062228,36000,144,214
10,1599.0614149305557,0.08775071676286976,1598.9315,1599.1644,401.0,401.0,401.0,3.161233642578125,0.4573593,6.026632,-0.33115505981445315,-3.5173745,2.907901,0.3036808669567108,0.5762088298797607,-0.04203632473945618,-0.11929146200418472,0.5494838356971741,0.0028581114020198584,80.0,0,0.9730174541473389,0.000246,233.2365264892578,197.21466064453125,0.4191799984699375,40000,159,267
