Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,587.2075737847222,0.10210372711364121,587.0561,587.3344,401.0,401.0,401.0,0.09465590667724609,-0.11391294,0.27465177,23.6445,-8.701785,25.23061,-23.659372329711914,580.4053955078125,-0.7393112182617188,-303.3258972167969,0.7436313033103943,0.0011771918507292867,80.0,0,1.0346922874450684,0.0003,110.5247573852539,39.99190902709961,0.508999994180536,4000,12,331
2,-179831.94444444444,508999.3064286914,-1619495.8,588.151,401.0,401.0,401.0,3.42652685546875,-16.276697,16.448635,-4.085410400390625,-163.807,27.371908,4.072455883026123,514.9140014648438,-1.508617639541626,-64.71004486083984,0.6404513716697693,12427.9677734375,80.0,0,0.9080240726470947,0.00027,-19677.896484375,114384.1328125,0.4591000102019319,8000,23,345
3,569.3466254340278,48.989320867182656,431.02356,588.88605,401.0,401.0,401.0,9.6598955078125,-14.194317,15.773874,-1.92110888671875,-15.139705,12.244162,1.910601019859314,7.614216327667236,-0.08174216747283936,-5.421661853790283,0.5253872871398926,0.004486586898565292,80.0,0,0.9819326400756836,0.00023999999999999998,-13082.978515625,94167.2109375,0.40920000592278644,12000,34,356
4,588.7101779513889,1.7346612734132902,583.8204,589.457,401.0,401.0,401.0,7.52132568359375,5.871338,12.183471,-1.4871817626953125,-11.166821,2.3393006,1.4792749881744385,3.1582894325256348,-0.023175835609436035,-2.0916481018066406,0.3953408896923065,0.0020014862529933453,80.0,0,0.986191987991333,0.00020999999999999998,-9784.4912109375,81900.6640625,0.3592999952524963,16000,46,352
5,589.8670789930555,0.12253226799166252,589.54987,590.00226,401.0,401.0,401.0,5.39389501953125,3.817286,6.4763126,-1.0826475830078126,-6.1083665,0.68959904,1.0777312517166138,1.5911582708358765,-0.014180660247802734,-1.072203278541565,0.2458181232213974,0.0017111061606556177,80.0,0,0.9896267652511597,0.00017999999999999998,-7805.37109375,73446.421875,0.30939998805568575,20000,57,350
6,589.4084743923611,2.253574593022425,583.08276,590.35205,401.0,401.0,401.0,4.32554150390625,3.6365523,6.4873405,-0.8584088134765625,-6.092442,0.4172931,0.857010006904602,1.0538333654403687,-0.014551997184753418,-0.7223325967788696,0.06993997097015381,0.0017081417609006166,80.0,0,0.9881381988525391,0.00015,-6485.97314453125,67166.0,0.2595000077268337,24000,70,323
7,590.6985134548611,0.026135228882742542,590.6477,590.74725,401.0,401.0,401.0,3.2911982421875,2.8950212,3.9872708,-0.6581983032226563,-3.5720305,-0.10152061,0.6610705852508545,0.5852339267730713,-0.009052097797393799,-0.39938852190971375,-0.14361584186553955,0.0015211421996355057,80.0,0,0.9872980713844299,0.00011999999999999999,-5543.5126953125,62263.1640625,0.20959999310399555,28000,82,336
8,591.0120442708334,0.01950304325787984,590.98157,591.0376,401.0,401.0,401.0,2.581134765625,2.2407172,3.2207308,-0.514824462890625,-2.8017013,0.15263475,0.5231348276138306,0.3541479706764221,-0.00679171085357666,-0.24354048073291779,-0.41551974415779114,0.0015163726639002562,80.0,0,0.9886394143104553,9e-05,-4836.66015625,58298.1328125,0.1596999986960824,32000,93,344
9,591.2233615451389,0.008075114945576771,591.2045,591.23096,401.0,401.0,401.0,2.034640380859375,1.6474097,2.5840483,-0.40563101196289064,-2.091974,0.13681526,0.4214341640472412,0.2236144244670868,-0.0070164501667022705,-0.15198275446891785,-0.7901563048362732,0.0020751915872097015,80.0,0,0.9839314222335815,5.999999999999998e-05,-4286.88330078125,55005.54296875,0.1097999985840832,36000,105,344
10,591.3564995659722,0.0027962421953985467,591.3524,591.3603,401.0,401.0,401.0,1.612449951171875,1.3168966,2.2582288,-0.32206109619140627,-1.6619024,0.023968458,0.34998393058776855,0.14137908816337585,-0.007069796323776245,-0.09559325128793716,-1.396140456199646,0.0016863009659573436,80.0,0,0.9808560013771057,2.999999999999999e-05,-3847.060546875,52214.52734375,0.05990000230669938,40000,116,353
