Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,TotalEnvSteps,Time,FPS
1,687.931884765625,0.0,687.9319,687.9319,2800.0,2800.0,2800.0,-0.11767469133649554,-0.18301818,-0.078479126,4.330364815848214,-32.057396,7.9075456,-4.366654396057129,55.77375411987305,-0.08510398864746094,-18.944604873657227,0.725791335105896,0.0009819179540500045,80.0,0,1.0048277378082275,0.0003,28.09029769897461,24.889986038208008,2800,12,223
2,-400.5733337402344,0.0,-400.57333,-400.57333,2800.0,2800.0,2800.0,3.7865408761160713,-9.298005,8.677306,-0.634619881766183,-6.9671006,5.1310406,0.5983302593231201,2.6271655559539795,-0.09748709201812744,-2.1323463916778564,0.725791335105896,0.0039809574373066425,80.0,0,0.984556257724762,0.00028,8.69892692565918,32.67208480834961,5600,24,228
3,690.6853637695312,0.0,690.68536,690.68536,2800.0,2800.0,2800.0,0.34258941650390623,-7.951106,7.427854,0.10930902753557478,-7.345102,7.524134,-0.1455986052751541,10.610002517700195,-0.28209179639816284,-8.579645156860352,0.725791335105896,0.004085909109562635,80.0,0,1.0034270286560059,0.00026,15.167173385620117,32.296566009521484,8400,37,225
4,785.8193969726562,0.0,785.8194,785.8194,2760.0,2760.0,2760.0,0.32404571533203125,-5.3841934,4.1934996,0.1105012948172433,-3.0700166,3.5755026,-0.14679084718227386,1.5983015298843384,-0.0843784362077713,-1.342970371246338,0.725791335105896,0.003126428695395589,80.0,0,1.0043061971664429,0.00023999999999999998,19.114599227905273,31.62508773803711,11200,49,230
5,701.662353515625,0.0,701.66235,701.66235,2800.0,2800.0,2800.0,0.5958188738141741,-4.8524156,2.6061163,0.064578732081822,-1.3204491,1.6983156,-0.10086831450462341,0.29586267471313477,-0.02778536081314087,-0.217524915933609,0.725791335105896,0.002481109695509076,80.0,0,1.0059069395065308,0.00022,21.001718521118164,30.612592697143555,14000,62,210
6,673.092529296875,0.0,673.0925,673.0925,2800.0,2800.0,2800.0,0.6831844656808036,-4.383174,2.0724456,0.0505305426461356,-0.8807368,1.1510996,-0.08682011067867279,0.12290342152118683,-0.015028655529022217,-0.07342469692230225,0.725791335105896,0.0017507794545963407,80.0,0,1.0033453702926636,0.0002,22.08719825744629,29.910505294799805,16800,75,228
7,623.9237670898438,0.0,623.92377,623.92377,2800.0,2800.0,2800.0,0.7157669503348214,-3.905145,1.7908658,0.03415983472551618,-0.7736122,0.64862645,-0.07044939696788788,0.05840693786740303,-0.008653692901134491,-0.027053339406847954,0.725791335105896,0.0014709926908835769,80.0,0,1.0058530569076538,0.00017999999999999998,22.61247444152832,29.20435905456543,19600,87,231
8,720.26416015625,0.0,720.26416,720.26416,2800.0,2800.0,2800.0,0.7578058733258929,-3.5390491,1.5961843,0.047889022827148436,-0.69865,0.72119725,-0.08417858183383942,0.03888845071196556,-0.006397046148777008,-0.01453544944524765,0.725791335105896,0.001837166491895914,80.0,0,1.0068703889846802,0.00015999999999999999,23.448429107666016,28.729272842407227,22400,99,227
9,702.947021484375,0.0,702.947,702.947,2800.0,2800.0,2800.0,0.8404424176897322,-3.2074628,1.531238,0.03261068616594587,-0.58774686,0.50612944,-0.06890025734901428,0.03289373964071274,-0.005392298102378845,-0.009196591563522816,0.725791335105896,0.0012747254222631454,80.0,0,1.0044329166412354,0.00014,24.014816284179688,28.241933822631836,25200,112,222
10,606.1820678710938,0.0,606.18207,606.18207,2800.0,2800.0,2800.0,0.868040771484375,-2.9904096,1.3450739,0.006474481310163226,-0.5563858,0.44534567,-0.042764049023389816,0.032793670892715454,-0.004609785974025726,-0.010554449632763863,0.725791335105896,0.0014038896188139915,80.0,0,1.0035630464553833,0.00011999999999999999,24.120594024658203,28.01471710205078,28000,124,224
11,628.7972412109375,0.0,628.79724,628.79724,2796.0,2796.0,2796.0,0.9623207310267857,-2.7637875,1.4129468,-0.009026590074811663,-0.9031346,0.31935307,-0.02726297825574875,0.030327489599585533,-0.004160821437835693,-0.0075608957558870316,0.725791335105896,0.0013159208465367556,80.0,0,0.9996016025543213,0.0001,24.29901123046875,27.87028694152832,30800,137,223
12,686.3681030273438,0.0,686.3681,686.3681,2770.0,2770.0,2770.0,0.99423095703125,-2.6195688,1.6780244,-0.009139304842267718,-1.0242361,0.37029836,-0.027150262147188187,0.024219447746872902,-0.0033199507743120193,-0.004074913449585438,0.725791335105896,0.0013827010989189148,80.0,0,1.001413345336914,8e-05,24.567663192749023,27.552467346191406,33600,149,223
13,540.9706420898438,0.0,540.97064,540.97064,2800.0,2800.0,2800.0,1.16724609375,-2.6906357,1.6875014,-0.05133788517543248,-0.5655814,0.38972956,0.015048321336507797,0.02772386185824871,-0.0038710571825504303,-0.009547784924507141,0.725791335105896,0.0015355945797637105,80.0,0,0.9924613833427429,5.999999999999998e-05,24.451065063476562,27.45186424255371,36400,161,229
14,540.0791625976562,0.0,540.07916,540.07916,2800.0,2800.0,2800.0,1.2875157819475447,-2.542202,1.8679612,-0.07066131591796875,-0.60139704,0.4018787,0.034371744841337204,0.027956657111644745,-0.003304407000541687,-0.009905042126774788,0.725791335105896,0.0017253977712243795,80.0,0,0.9910289645195007,3.999999999999999e-05,24.340097427368164,27.273311614990234,39200,174,228
15,590.3878784179688,0.0,590.3879,590.3879,2800.0,2800.0,2800.0,1.3249860491071428,-2.4940948,2.083727,-0.06503462655203683,-0.53987783,0.30483055,0.028745058923959732,0.020618844777345657,-0.0024941042065620422,-0.006687826942652464,0.725791335105896,0.0017844702815636992,80.0,0,0.9953019618988037,1.9999999999999995e-05,24.357818603515625,27.06001853942871,42000,186,224
