Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-291.49798583984375,0.25939075410636436,-291.72726,-291.05746,601.0,601.0,601.0,0.030425515747070312,-0.13937855,0.23957995,-7.7628640625,-23.659206,3.1944294,7.747992515563965,149.9437255859375,-0.5658149719238281,-49.78350067138672,0.7436313033103943,0.003915669862180948,80.0,2,0.9676056504249573,0.0003,-47.913944244384766,37.51030731201172,0.508999994180536,2500,7,328
2,-291.5677185058594,0.17154549311157644,-291.84845,-291.38367,601.0,601.0,601.0,0.276676513671875,-9.347298,9.599315,-0.4165140625,-10.504492,10.8981905,0.40299326181411743,15.207206726074219,-0.537825345993042,-11.994830131530762,0.6760406494140625,0.0060175503604114056,80.0,2,0.9815886616706848,0.00028,-47.98383331298828,37.42947769165039,0.4757333320358722,5000,15,337
3,-291.36859130859375,0.5074314154711087,-292.18118,-290.81174,601.0,601.0,601.0,-1.06976728515625,-4.338921,6.4652786,-0.01515445556640625,-6.549761,3.385785,0.003083486109972,1.2017745971679688,-0.10676857829093933,-0.5716673135757446,0.6035484075546265,0.003935880493372679,80.0,2,1.0111324787139893,0.00026,-47.975040435791016,37.450809478759766,0.44246665663059725,7500,23,308
4,-290.51568603515625,0.40269206996836715,-290.88052,-289.87903,601.0,601.0,601.0,-0.9555791015625,-3.1867976,3.3823924,-0.0099055419921875,-2.9021847,1.9507247,-0.0006021913141012192,0.5161693096160889,-0.07193216681480408,-0.3082317113876343,0.5253872871398926,0.003392118727788329,80.0,2,1.002655267715454,0.00023999999999999998,-47.945526123046875,37.46013259887695,0.40920000592278644,10000,30,347
5,-289.1733093261719,0.14807764151360311,-289.3661,-288.9805,601.0,601.0,601.0,-1.9231119140625,-2.507641,-0.7145956,0.15237056884765626,-0.9643622,1.9373534,-0.1611824631690979,0.13519558310508728,-0.02998936176300049,-0.03011772409081459,0.44059517979621887,0.002416575327515602,80.0,2,1.0358399152755737,0.00022,-47.88752365112305,37.46129608154297,0.3759333442714601,12500,38,324
6,-288.63134765625,0.18687670143973176,-288.94388,-288.47025,601.0,601.0,601.0,-1.6137,-2.1251366,0.2932606,0.0928797607421875,-1.4225894,1.6509346,-0.09983859211206436,0.11598800122737885,-0.03041427582502365,-0.02055647224187851,0.3479413688182831,0.002630610717460513,80.0,2,1.0293139219284058,0.0002,-47.83609390258789,37.46602249145508,0.342666667586811,15000,45,329
7,-288.1072998046875,0.11799299846679383,-288.2281,-287.91977,601.0,601.0,601.0,-1.517239453125,-1.9322013,-0.5535135,0.07238543701171875,-0.6812344,1.4265412,-0.07730178534984589,0.0879923477768898,-0.026711203157901764,-0.011178417131304741,0.2458181381225586,0.002575887134298682,80.0,2,1.0236423015594482,0.00017999999999999998,-47.78842544555664,37.46846008300781,0.30939998805568575,17500,52,346
8,-287.39056396484375,0.0908601222413448,-287.53775,-287.29184,601.0,601.0,601.0,-1.41566748046875,-1.7893355,-0.39789933,0.054942333984375,-0.9628663,1.1305212,-0.05758367106318474,0.08776535093784332,-0.02856368198990822,-0.004111650865525007,0.13206708431243896,0.0029041385278105736,80.0,2,1.0163241624832153,0.00015999999999999999,-47.739601135253906,37.47336959838867,0.2761333346783128,20000,60,346
9,-287.0657958984375,0.045650130097064395,-287.12375,-286.9972,601.0,601.0,601.0,-1.1702029296875,-1.6594753,0.994695,0.010751278686523438,-1.9417636,1.1438978,-0.010825187899172306,0.09875821322202682,-0.03299223259091377,-0.014789404347538948,0.0036958460696041584,0.00312260864302516,80.0,2,1.00496506690979,0.00014,-47.69735336303711,37.479244232177734,0.24286666936472848,22500,67,343
10,-286.49530029296875,0.061527725100599374,-286.56003,-286.43085,601.0,601.0,601.0,-1.15369755859375,-1.4570316,-0.4876256,0.009714794921875,-0.9553496,0.94550204,-0.006842476315796375,0.07386038452386856,-0.030498817563056946,-0.0015591360861435533,-0.14361582696437836,0.003979964647442102,80.0,2,1.0067687034606934,0.00011999999999999999,-47.654727935791016,37.48337936401367,0.20959999310399555,25000,74,341
11,-286.330810546875,0.09489095325497993,-286.45062,-286.19168,601.0,601.0,601.0,-1.1213080078125,-1.4334277,-0.3928057,0.0007063461303710938,-0.71003574,0.91840327,0.005622467026114464,0.07005855441093445,-0.030458340421319008,-0.0024045456666499376,-0.316440612077713,0.0038056103512644768,80.0,2,0.9998759627342224,0.0001,-47.61796188354492,37.48720932006836,0.17633333967182221,27500,82,338
